Period: Step1, Chains depth: 6, Method: MMPA
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
0.0000e+00	1.2357e-06	6.7966e-01	4.6632e+03	1.5024e+14	5.9176e-08	5.6539e-08	5.3423e-10	2.1025e-09
3.6000e+03	5.9190e+04	6.6735e+06	4.6620e+03	1.5021e+14	2.3922e+02	1.7501e-01	1.2452e+02	1.1452e+02
Nulicdes at time = 3.600e+03 sec. ---------------------------------------------------
Name	Atoms	Activity(Bq)	Mass(g)	DoseInh(Sv)
Y-91	5.8361e+14	8.0020e+07	8.8098e-08	7.1218e-01
Y-91m	4.8823e+14	1.1346e+11	7.3700e-08	1.2481e+00
Y-92	3.9222e+15	2.1333e+11	5.9860e-07	3.8399e+01
Y-93	2.7746e+16	5.2478e+11	4.2806e-06	2.2041e+02
Y-93m	3.9009e+12	3.2974e+12	6.0182e-10	1.1871e+01
Y-94	1.4007e+16	8.6531e+12	2.1843e-06	2.4229e+02
Y-95	8.4509e+15	9.4785e+12	1.3319e-06	1.5166e+02
Y-96	4.6122e+13	5.9868e+12	7.3460e-09	5.9868e+02
Y-96m	4.2493e+13	3.0681e+12	6.7679e-09	1.0738e+03
Y-97	2.5111e+13	4.6415e+12	4.0413e-09	4.6415e+02
Y-97m	4.6895e+12	2.7782e+12	7.5471e-10	9.7238e+01
Y-98	2.2953e+12	2.9033e+12	3.7323e-10	8.4195e+01
Y-98m	4.8517e+12	1.6815e+12	7.8890e-10	1.8496e+02
Y-99	6.7003e+12	3.1594e+12	1.1006e-09	0.0000e+00
Y-100	9.1393e+11	8.6188e+11	1.5165e-10	0.0000e+00
Y-100m	9.7665e+11	7.2018e+11	1.6206e-10	0.0000e+00
Y-101	2.7346e+11	4.2122e+11	4.5832e-11	0.0000e+00
Y-102	2.1025e+11	4.0482e+11	3.5588e-11	0.0000e+00
Zr-90	1.2169e+08	0.0000e+00	1.8168e-14	0.0000e+00
Zr-91	8.9253e+10	0.0000e+00	1.3473e-11	0.0000e+00
Zr-92	2.7714e+14	0.0000e+00	4.2294e-08	0.0000e+00
Zr-93	8.2076e+14	1.1783e+01	1.2662e-07	2.9457e-07
Zr-94	2.0208e+16	0.0000e+00	3.1512e-06	0.0000e+00
Zr-95	2.6722e+16	3.3480e+09	4.2113e-06	1.9753e+01
Zr-96	3.4349e+16	3.7723e-11	5.4704e-06	1.1694e-18
Zr-97	3.2176e+16	3.6988e+11	5.1779e-06	3.4029e+02
Zr-98	3.7546e+14	8.4771e+12	6.1045e-08	1.8650e+01
Zr-99	2.5884e+13	8.5435e+12	4.2515e-09	1.8796e+00
Zr-100	9.3435e+13	9.1217e+12	1.5502e-08	0.0000e+00
Zr-101	1.5460e+13	4.6591e+12	2.5908e-09	0.0000e+00
Zr-102	1.2905e+13	3.0844e+12	2.1841e-09	0.0000e+00
Zr-103	1.4186e+12	7.5641e+11	2.4247e-10	0.0000e+00
Zr-104	3.1355e+04	1.8112e+04	5.4113e-18	0.0000e+00
Nb-93	3.1309e+02	0.0000e+00	4.8302e-20	0.0000e+00
Nb-93m	1.2210e+04	1.6626e-05	1.8837e-18	2.9928e-14
Nb-95	4.9095e+12	1.1256e+06	7.7372e-10	2.0261e-03
Nb-95m	5.3502e+10	1.1890e+05	8.4317e-12	1.0463e-04
Nb-96	3.7253e+06	3.0719e+01	5.9329e-16	2.0274e-08
Nb-97	5.8515e+14	9.3758e+10	9.4162e-08	4.2191e+00
Nb-97m	2.9085e+13	3.4345e+11	4.6804e-09	2.4385e+01
Nb-98	3.5704e+13	8.6533e+12	5.8049e-09	1.0384e+02
Nb-98m	1.4422e+14	3.2477e+10	2.3448e-08	1.8837e+00
Nb-99	1.2071e+14	5.5779e+12	1.9826e-08	2.9005e+02
Nb-99m	8.0160e+14	3.7042e+12	1.3166e-07	2.4447e+03
Nb-100	2.0792e+13	9.6078e+12	3.4496e-09	8.3588e+01
Nb-100m	2.0970e+12	4.8612e+11	3.4791e-10	1.0695e+01
Nb-101	7.7504e+13	7.5665e+12	1.2988e-08	3.7076e+02
Nb-102	2.6578e+13	4.2843e+12	4.4980e-09	7.2833e+01
Nb-102m	2.2504e+12	1.1999e+12	3.8085e-10	6.3594e+01
Nb-103	6.2759e+12	2.9001e+12	1.0726e-09	4.6401e+01
Nb-104	3.0700e+12	4.3428e+11	5.2979e-10	2.4754e+01
Nb-104m	5.8895e+11	4.3428e+11	1.0163e-10	4.7771e+00
Nb-105	9.0515e+11	2.1268e+11	1.5771e-10	0.0000e+00
Nb-106	6.5342e+04	4.8700e+04	1.1494e-17	0.0000e+00
Mo-94	1.2437e+02	0.0000e+00	1.9393e-20	0.0000e+00
Mo-95	1.1607e+09	0.0000e+00	1.8292e-13	0.0000e+00
Mo-96	1.6284e+07	0.0000e+00	2.5933e-15	0.0000e+00
Mo-97	1.2135e+14	0.0000e+00	1.9527e-08	0.0000e+00
Mo-98	3.0802e+16	0.0000e+00	5.0077e-06	0.0000e+00
Mo-99	3.2033e+16	9.3485e+10	5.2612e-06	9.2550e+01
Mo-100	3.6623e+16	1.1019e-10	6.0758e-06	2.4243e-18
Mo-101	9.3455e+15	7.3897e+12	1.5660e-06	1.9213e+02
Mo-102	6.1702e+15	6.3080e+12	1.0442e-06	1.8293e+02
Mo-103	4.3582e+14	4.4753e+12	7.4477e-08	1.7454e+01
Mo-104	2.2376e+14	2.5850e+12	3.8611e-08	2.8435e+00
Mo-105	6.2985e+13	1.2263e+12	1.0973e-08	3.8017e+00
Mo-106	6.9134e+12	5.4891e+11	1.2159e-09	0.0000e+00
Mo-107	9.4528e+11	1.8720e+11	1.6783e-10	0.0000e+00
Mo-108	7.4708e+10	4.7508e+10	1.3389e-11	0.0000e+00
Tc-98	2.8731e+07	1.5025e-07	4.6710e-15	6.7614e-15
Tc-99	2.5142e+13	2.6160e+00	4.1293e-09	3.4008e-08
Tc-99m	1.3894e+14	4.4538e+09	2.2820e-08	8.9076e-02
Tc-100	8.1707e+06	3.6633e+05	1.3555e-15	1.4287e-03
Tc-101	7.5437e+15	6.1372e+12	1.2640e-06	7.3646e+01
Tc-102	4.8041e+13	6.3067e+12	8.1297e-09	1.1983e+04
Tc-102m	2.9076e+02	7.7218e-01	4.9204e-20	1.1583e-07
Tc-103	3.5971e+14	4.6002e+12	6.1468e-08	5.5202e+04
Tc-104	3.6484e+15	2.3032e+12	6.2953e-07	6.6792e+01
Tc-105	8.0312e+14	1.2208e+12	1.3991e-07	2.3195e+05
Tc-106	3.0428e+13	5.9245e+11	5.3515e-09	1.5996e+04
Tc-107	6.8795e+12	2.2493e+11	1.2214e-09	3.8238e+03
Tc-108	6.5278e+11	8.7519e+10	1.1698e-10	5.1636e+02
