Period: P_1, Chains depth: 8, Method: BDF
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 0.000e+00 2.039e-05 6.797e+00 4.664e+04 1.503e+15 5.918e-07 5.654e-07 5.342e-09 2.103e-08
 3.600e+03 3.600e+03 8.348e+05 6.675e+07 4.663e+04 1.502e+15 2.420e+03 1.750e+00 1.256e+03 1.162e+03

Nulicdes at time = 3.600e+03 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  420980    Mo-98    3.081e+17    0.000e+00    5.008e-05    0.000e+00
  420990    Mo-99    3.207e+17    9.358e+11    5.266e-05    9.264e+02
  421000   Mo-100    3.663e+17    1.102e-09    6.077e-05    2.425e-17
  421010   Mo-101    9.347e+16    7.391e+13    1.566e-05    1.922e+03
  421020   Mo-102    6.171e+16    6.309e+13    1.044e-05    1.830e+03
  421030   Mo-103    4.359e+15    4.476e+13    7.450e-07    1.746e+02
  421040   Mo-104    2.238e+15    2.585e+13    3.862e-07    2.844e+01
  421050   Mo-105    6.300e+14    1.227e+13    1.098e-07    3.802e+01
  421060   Mo-106    6.915e+13    5.490e+12    1.216e-08    0.000e+00
  421070   Mo-107    9.455e+12    1.873e+12    1.679e-09    0.000e+00
  421080   Mo-108    7.474e+11    4.753e+11    1.339e-10    0.000e+00
  430970    Tc-97    3.646e+02    1.902e-12    5.867e-20    3.424e-21
  430971   Tc-97m    4.581e+01    4.038e-06    7.371e-21    1.656e-14
  430980    Tc-98    2.879e+08    1.506e-06    4.681e-14    6.776e-14
  430990    Tc-99    2.517e+14    2.619e+01    4.133e-08    3.404e-07
  430991   Tc-99m    1.391e+15    4.458e+10    2.284e-07    8.916e-01
  431000   Tc-100    8.162e+07    3.659e+06    1.354e-14    1.427e-02
