Period: P_2, Chains depth: 8, Method: DIAG
DOSEXT: Gamma effective dose rate Hp (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: Decay power [Sum Alpha Beta Gamma](Watt)
----------------------------------------------------------------------------------------------------
      STEP      TIME    DOSEXT    DOSINH     FISSP     FISSR     HEATS     HEATA     HEATB     HEATG
 0.000e+00 3.600e+03 8.348e+05 6.675e+07 0.000e+00 0.000e+00 2.420e+03 1.750e+00 1.256e+03 1.162e+03
 1.000e+03 4.600e+03 1.589e+05 7.798e+06 0.000e+00 0.000e+00 3.264e+02 6.749e-07 1.413e+02 1.851e+02
 1.000e+04 1.460e+04 1.978e+04 1.574e+06 0.000e+00 0.000e+00 3.783e+01 5.662e-07 1.568e+01 2.215e+01
 1.000e+05 1.146e+05 1.133e+03 3.327e+05 0.000e+00 0.000e+00 2.132e+00 5.663e-07 9.217e-01 1.211e+00

Nulicdes at time = 1.146e+05 sec. ------------------------------------------------------------------
  ZZAAAm     Name        Atoms Activity(Bq)      Mass(g)  DoseInh(Sv)
  561360   Ba-136    1.659e+12    0.000e+00    3.744e-10    0.000e+00
  561361  Ba-136m    6.949e+05    1.562e+06    1.568e-16    1.171e-04
  561370   Ba-137    2.747e+13    0.000e+00    6.244e-09    0.000e+00
  561371  Ba-137m    5.116e+10    2.316e+08    1.163e-11    2.779e+00
  561380   Ba-138    3.692e+17    0.000e+00    8.455e-05    0.000e+00
  561390   Ba-139    6.145e+10    8.547e+06    1.417e-11    5.043e-04
  561400   Ba-140    3.154e+17    1.984e+11    7.327e-05    1.151e+03
  571370   La-137    7.391e+03    2.705e-09    1.680e-18    2.354e-17
  571380   La-138    8.444e+09    1.818e-09    1.934e-12    2.727e-16
  571390   La-139    3.499e+17    0.000e+00    8.071e-05    0.000e+00
  571400   La-140    1.786e+16    8.535e+10    4.149e-06    9.389e+01
  571410   La-141    1.362e+15    6.691e+10    3.187e-07    1.004e+01
  571420   La-142    2.231e+11    2.829e+07    5.257e-11    2.518e-03
  581390   Ce-139    3.128e+05    1.823e-02    7.216e-17    3.464e-11
  581400   Ce-140    5.313e+15    0.000e+00    1.234e-06    0.000e+00
  581410   Ce-141    3.109e+17    7.673e+10    7.275e-05    2.916e+02
  581420   Ce-142    3.191e+17    0.000e+00    7.520e-05    0.000e+00
  581430   Ce-143    1.681e+17    9.797e+11    3.990e-05    8.132e+02
  581440   Ce-144    2.990e+17    8.420e+09    7.146e-05    4.462e+02
  591410   Pr-141    7.083e+15    0.000e+00    1.657e-06    0.000e+00
  591420   Pr-142    1.086e+08    1.093e+03    2.558e-14    6.013e-07
  591430   Pr-143    1.484e+17    8.776e+10    3.523e-05    2.106e+02
  591440   Pr-144    1.259e+13    8.420e+09    3.010e-09    1.516e-01
