Period: Step2, Chains depth: 6, Method: DIAG
DOSEXT: Decay gamma effective dose rate (rotational, ICRP74) at distance 1 m (mSv/h)
DOSINH: Effective dose per inhalation EAF2010/ICRP72 (Sv)
FISS: Fission (fragments+decay) [Power] (Watt), Fission [Rate] (fission/s)
HEAT: decay power [Sum Alpha Beta Gamma](Watt)
-------------------------------------------------------------------------------------
TIME	DOSEXT	DOSINH	FISSP	FISSR	HEATS	HEATA	HEATB	HEATG
Nd-145	2.0890e+16	0.0000e+00	5.0267e-06	0.0000e+00
Nd-146	1.6310e+16	0.0000e+00	3.9518e-06	0.0000e+00
Nd-147	1.1294e+16	8.2520e+09	2.7553e-06	1.9805e+01
Nd-148	9.1322e+15	0.0000e+00	2.2431e-06	0.0000e+00
Nd-149	2.1008e+10	2.3408e+06	5.1950e-12	2.0833e-04
Nd-150	3.5674e+15	9.9184e-12	8.8809e-07	8.3314e-20
Pm-146	1.4888e+06	5.9132e-03	3.6072e-16	1.2418e-10
Pm-147	9.5878e+14	8.0274e+06	2.3390e-07	4.0137e-02
Pm-148	6.8221e+07	1.0196e+02	1.6757e-14	2.2430e-07
Pm-148m	6.8928e+07	1.3392e+01	1.6930e-14	7.6337e-08
Pm-149	4.0281e+15	1.4612e+10	9.9610e-07	1.0666e+01
Pm-150	5.2231e+07	3.7524e+03	1.3003e-14	4.8782e-07
Pm-151	1.0686e+15	7.2448e+09	2.6781e-07	3.3326e+00
Sm-146	2.3438e+02	4.9980e-14	5.6788e-20	5.4978e-19
Sm-147	4.5405e+11	9.4084e-08	1.1077e-10	9.0321e-13
Sm-148	1.5609e+07	4.8977e-17	3.8338e-15	4.1630e-22
Sm-149	1.8347e+15	0.0000e+00	4.5370e-07	0.0000e+00
Sm-150	1.7533e+11	0.0000e+00	4.3646e-11	0.0000e+00
Sm-151	1.2100e+15	2.9531e+05	3.0324e-07	1.1812e-03
Sm-152	1.4428e+15	0.0000e+00	3.6397e-07	0.0000e+00
Sm-153	5.0700e+14	2.0993e+09	1.2874e-07	1.3226e+00
Sm-154	3.1695e+14	0.0000e+00	8.1012e-08	0.0000e+00
Eu-151	1.8558e+10	0.0000e+00	4.6507e-12	0.0000e+00
Eu-152	1.7871e+03	2.8996e-06	4.5082e-19	1.2178e-13
Eu-152m	9.3021e+01	1.9234e-03	2.3466e-20	4.2316e-13
Eu-153	3.0014e+14	0.0000e+00	7.6214e-08	0.0000e+00
Eu-154	1.4587e+08	3.7251e-01	3.7284e-14	1.9743e-08
Eu-155	1.6537e+14	7.6421e+05	4.2543e-08	5.2731e-03
Eu-156	4.1582e+10	2.1961e+04	1.0766e-11	7.4668e-05
Eu-157	5.3883e+04	6.8344e-01	1.4041e-17	1.9136e-10
Gd-152	7.5892e+05	1.5434e-16	1.9145e-16	2.9326e-21
Gd-154	4.1718e+04	0.0000e+00	1.0663e-17	0.0000e+00
Gd-155	8.4695e+10	0.0000e+00	2.1788e-11	0.0000e+00
Gd-156	2.5359e+09	0.0000e+00	6.5658e-13	0.0000e+00
Gd-157	1.6841e+05	0.0000e+00	4.3884e-17	0.0000e+00
Ac-227	8.2817e+01	8.3549e-08	3.1221e-20	4.5952e-11
Th-228	4.0177e+01	4.6154e-07	1.5213e-20	1.8462e-11
Th-229	5.9976e+05	1.7947e-06	2.2810e-16	4.3074e-10
Th-230	4.7453e+06	1.3827e-06	1.8126e-15	1.3827e-10
Th-231	6.1327e+09	4.6270e+04	2.3528e-12	1.5269e-05
Th-232	4.8317e+11	7.5534e-07	1.8617e-10	8.3088e-11
Th-234	3.3112e+00	1.1022e-06	1.2868e-21	8.4872e-15
Pa-231	3.0287e+09	2.0306e-03	1.1619e-12	2.8429e-07
Pa-232	2.6539e+03	1.6130e-02	1.0226e-18	1.6130e-10
Pa-233	1.9631e+10	5.8385e+03	7.5968e-12	2.2770e-05
Pa-234	2.8807e+03	8.2784e-02	1.1196e-18	3.3114e-11
U-231	6.0564e+02	1.1569e-03	2.3235e-19	4.6274e-13
U-232	1.1249e+06	3.5861e-04	4.3344e-16	1.3269e-08
U-233	3.8538e+13	5.3170e+00	1.4913e-08	5.1043e-05
U-234	4.6440e+14	4.1550e+01	1.8048e-07	3.9057e-04
U-235	2.5615e+21	7.9941e+04	9.9975e-01	6.7950e-01
U-236	9.1409e+16	8.5728e+01	3.5829e-05	7.4584e-04
U-237	7.8860e+10	9.3727e+04	3.1042e-11	1.7808e-04
U-238	4.8926e+06	2.4052e-11	1.9340e-15	1.9242e-16
Np-237	1.1250e+10	1.1525e-04	4.4281e-12	5.7624e-09
Np-238	1.2258e+03	4.6453e-03	4.8455e-19	1.6258e-11
Pu-238	6.4611e+02	1.6182e-07	2.5540e-19	1.7800e-11
-----------------------------------------------------------------------------------------
ORILL V.1.0 - Copyright 2017-2018 - Franck Chanteloup @ Institue Laue-Langevin - Job done.
